x,y,street_count,geometry,out_degree,in_degree
-8.6406364,41.1660713,3,POINT (-8.6406364 41.1660713),2,1
-8.6420446,41.168347,3,POINT (-8.6420446 41.168347),2,1
-8.6415867,41.1668853,3,POINT (-8.6415867 41.1668853),1,2
-8.6224058,41.1742319,3,POINT (-8.622405799999999 41.1742319),1,2
-8.6224443,41.1749254,3,POINT (-8.6224443 41.1749254),1,2
-8.5835683,41.166241,3,POINT (-8.5835683 41.166241),2,1
-8.5810576,41.1626066,3,POINT (-8.581057599999999 41.1626066),2,1
-8.5825433,41.1541532,3,POINT (-8.582543299999999 41.1541532),2,1
-8.5801756,41.1520755,3,POINT (-8.5801756 41.1520755),1,2
-8.5797087,41.1513862,3,POINT (-8.579708699999999 41.1513862),2,1
-8.5793775,41.1483683,3,POINT (-8.5793775 41.1483683),1,1
-8.580636,41.1472516,3,POINT (-8.580636 41.1472516),1,2
-8.5811733,41.1454215,3,POINT (-8.5811733 41.1454215),0,2
-8.6140445,41.1499575,3,POINT (-8.6140445 41.1499575),2,1
-8.6148066,41.1499243,3,POINT (-8.6148066 41.1499243),1,2
-8.6120177,41.152994,3,POINT (-8.612017700000001 41.152994),2,1
-8.6119957,41.153597,3,POINT (-8.6119957 41.153597),2,1
-8.6121592,41.1479515,4,POINT (-8.612159200000001 41.1479515),3,1
-8.6112856,41.147888,4,POINT (-8.6112856 41.147888),2,2
-8.6109422,41.1478426,4,POINT (-8.6109422 41.1478426),3,2
-8.6121386,41.1488008,3,POINT (-8.6121386 41.1488008),1,2
-8.6121861,41.1471763,3,POINT (-8.612186100000001 41.1471763),2,2
-8.6133682,41.1475478,4,POINT (-8.6133682 41.1475478),1,3
-8.6210997,41.1507093,4,POINT (-8.6210997 41.1507093),2,2
-8.6212767,41.1516791,3,POINT (-8.621276699999999 41.1516791),2,2
-8.6230542,41.1502192,4,POINT (-8.6230542 41.1502192),2,2
-8.6229257,41.1493674,3,POINT (-8.6229257 41.1493674),2,1
-8.6208752,41.1496431,4,POINT (-8.6208752 41.1496431),1,3
-8.6231422,41.1506749,3,POINT (-8.6231422 41.1506749),1,2
